"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, NH","US, MD","US, NH-US, MD",404,2020-01-01
"2","US, NH","US, MD","US, NH-US, MD",404,2020-01-02
"3","US, NH","US, MD","US, NH-US, MD",405,2020-01-03
"4","US, NH","US, MD","US, NH-US, MD",405,2020-01-04
"5","US, NH","US, MD","US, NH-US, MD",406,2020-01-05
"6","US, NH","US, MD","US, NH-US, MD",408,2020-01-06
"7","US, NH","US, MD","US, NH-US, MD",409,2020-01-07
"8","US, NH","US, MD","US, NH-US, MD",411,2020-01-08
"9","US, NH","US, MD","US, NH-US, MD",413,2020-01-09
"10","US, NH","US, MD","US, NH-US, MD",415,2020-01-10
"11","US, NH","US, MD","US, NH-US, MD",417,2020-01-11
"12","US, NH","US, MD","US, NH-US, MD",420,2020-01-12
"13","US, NH","US, MD","US, NH-US, MD",423,2020-01-13
"14","US, NH","US, MD","US, NH-US, MD",426,2020-01-14
"15","US, NH","US, MD","US, NH-US, MD",430,2020-01-15
"16","US, NH","US, MD","US, NH-US, MD",433,2020-01-16
"17","US, NH","US, MD","US, NH-US, MD",437,2020-01-17
"18","US, NH","US, MD","US, NH-US, MD",441,2020-01-18
"19","US, NH","US, MD","US, NH-US, MD",446,2020-01-19
"20","US, NH","US, MD","US, NH-US, MD",450,2020-01-20
"21","US, NH","US, MD","US, NH-US, MD",455,2020-01-21
"22","US, NH","US, MD","US, NH-US, MD",460,2020-01-22
"23","US, NH","US, MD","US, NH-US, MD",466,2020-01-23
"24","US, NH","US, MD","US, NH-US, MD",471,2020-01-24
"25","US, NH","US, MD","US, NH-US, MD",477,2020-01-25
"26","US, NH","US, MD","US, NH-US, MD",483,2020-01-26
"27","US, NH","US, MD","US, NH-US, MD",490,2020-01-27
"28","US, NH","US, MD","US, NH-US, MD",496,2020-01-28
"29","US, NH","US, MD","US, NH-US, MD",503,2020-01-29
"30","US, NH","US, MD","US, NH-US, MD",510,2020-01-30
"31","US, NH","US, MD","US, NH-US, MD",518,2020-01-31
"32","US, NH","US, MD","US, NH-US, MD",525,2020-02-01
"33","US, NH","US, MD","US, NH-US, MD",532,2020-02-02
"34","US, NH","US, MD","US, NH-US, MD",538,2020-02-03
"35","US, NH","US, MD","US, NH-US, MD",543,2020-02-04
"36","US, NH","US, MD","US, NH-US, MD",547,2020-02-05
"37","US, NH","US, MD","US, NH-US, MD",550,2020-02-06
"38","US, NH","US, MD","US, NH-US, MD",552,2020-02-07
"39","US, NH","US, MD","US, NH-US, MD",554,2020-02-08
"40","US, NH","US, MD","US, NH-US, MD",555,2020-02-09
"41","US, NH","US, MD","US, NH-US, MD",554,2020-02-10
"42","US, NH","US, MD","US, NH-US, MD",553,2020-02-11
"43","US, NH","US, MD","US, NH-US, MD",551,2020-02-12
"44","US, NH","US, MD","US, NH-US, MD",549,2020-02-13
"45","US, NH","US, MD","US, NH-US, MD",545,2020-02-14
"46","US, NH","US, MD","US, NH-US, MD",541,2020-02-15
"47","US, NH","US, MD","US, NH-US, MD",535,2020-02-16
"48","US, NH","US, MD","US, NH-US, MD",529,2020-02-17
"49","US, NH","US, MD","US, NH-US, MD",522,2020-02-18
"50","US, NH","US, MD","US, NH-US, MD",514,2020-02-19
"51","US, NH","US, MD","US, NH-US, MD",505,2020-02-20
"52","US, NH","US, MD","US, NH-US, MD",495,2020-02-21
"53","US, NH","US, MD","US, NH-US, MD",485,2020-02-22
"54","US, NH","US, MD","US, NH-US, MD",474,2020-02-23
"55","US, NH","US, MD","US, NH-US, MD",461,2020-02-24
"56","US, NH","US, MD","US, NH-US, MD",448,2020-02-25
"57","US, NH","US, MD","US, NH-US, MD",434,2020-02-26
"58","US, NH","US, MD","US, NH-US, MD",419,2020-02-27
"59","US, NH","US, MD","US, NH-US, MD",404,2020-02-28
"60","US, NH","US, MD","US, NH-US, MD",387,2020-02-29
"61","US, NH","US, MD","US, NH-US, MD",370,2020-03-01
"62","US, NH","US, MD","US, NH-US, MD",353,2020-03-02
"63","US, NH","US, MD","US, NH-US, MD",337,2020-03-03
"64","US, NH","US, MD","US, NH-US, MD",322,2020-03-04
"65","US, NH","US, MD","US, NH-US, MD",307,2020-03-05
"66","US, NH","US, MD","US, NH-US, MD",294,2020-03-06
"67","US, NH","US, MD","US, NH-US, MD",281,2020-03-07
"68","US, NH","US, MD","US, NH-US, MD",268,2020-03-08
"69","US, NH","US, MD","US, NH-US, MD",257,2020-03-09
"70","US, NH","US, MD","US, NH-US, MD",246,2020-03-10
"71","US, NH","US, MD","US, NH-US, MD",236,2020-03-11
"72","US, NH","US, MD","US, NH-US, MD",227,2020-03-12
"73","US, NH","US, MD","US, NH-US, MD",218,2020-03-13
"74","US, NH","US, MD","US, NH-US, MD",210,2020-03-14
"75","US, NH","US, MD","US, NH-US, MD",203,2020-03-15
"76","US, NH","US, MD","US, NH-US, MD",196,2020-03-16
"77","US, NH","US, MD","US, NH-US, MD",191,2020-03-17
"78","US, NH","US, MD","US, NH-US, MD",186,2020-03-18
"79","US, NH","US, MD","US, NH-US, MD",181,2020-03-19
"80","US, NH","US, MD","US, NH-US, MD",178,2020-03-20
"81","US, NH","US, MD","US, NH-US, MD",175,2020-03-21
"82","US, NH","US, MD","US, NH-US, MD",173,2020-03-22
"83","US, NH","US, MD","US, NH-US, MD",172,2020-03-23
"84","US, NH","US, MD","US, NH-US, MD",171,2020-03-24
"85","US, NH","US, MD","US, NH-US, MD",171,2020-03-25
"86","US, NH","US, MD","US, NH-US, MD",172,2020-03-26
"87","US, NH","US, MD","US, NH-US, MD",174,2020-03-27
"88","US, NH","US, MD","US, NH-US, MD",176,2020-03-28
"89","US, NH","US, MD","US, NH-US, MD",179,2020-03-29
"90","US, NH","US, MD","US, NH-US, MD",183,2020-03-30
"91","US, NH","US, MD","US, NH-US, MD",187,2020-03-31
"92","US, NH","US, ME","US, NH-US, ME",1,2020-01-01
"93","US, NH","US, ME","US, NH-US, ME",1,2020-01-02
"94","US, NH","US, ME","US, NH-US, ME",1,2020-01-03
"95","US, NH","US, ME","US, NH-US, ME",1,2020-01-04
"96","US, NH","US, ME","US, NH-US, ME",1,2020-01-05
"97","US, NH","US, ME","US, NH-US, ME",1,2020-01-06
"98","US, NH","US, ME","US, NH-US, ME",1,2020-01-07
"99","US, NH","US, ME","US, NH-US, ME",1,2020-01-08
"100","US, NH","US, ME","US, NH-US, ME",1,2020-01-09
"101","US, NH","US, ME","US, NH-US, ME",1,2020-01-10
"102","US, NH","US, ME","US, NH-US, ME",1,2020-01-11
"103","US, NH","US, ME","US, NH-US, ME",1,2020-01-12
"104","US, NH","US, ME","US, NH-US, ME",1,2020-01-13
"105","US, NH","US, ME","US, NH-US, ME",1,2020-01-14
"106","US, NH","US, ME","US, NH-US, ME",1,2020-01-15
"107","US, NH","US, ME","US, NH-US, ME",1,2020-01-16
"108","US, NH","US, ME","US, NH-US, ME",1,2020-01-17
"109","US, NH","US, ME","US, NH-US, ME",1,2020-01-18
"110","US, NH","US, ME","US, NH-US, ME",1,2020-01-19
"111","US, NH","US, ME","US, NH-US, ME",1,2020-01-20
"112","US, NH","US, ME","US, NH-US, ME",1,2020-01-21
"113","US, NH","US, ME","US, NH-US, ME",0,2020-01-22
"114","US, NH","US, ME","US, NH-US, ME",0,2020-01-23
"115","US, NH","US, ME","US, NH-US, ME",0,2020-01-24
"116","US, NH","US, ME","US, NH-US, ME",0,2020-01-25
"117","US, NH","US, ME","US, NH-US, ME",0,2020-01-26
"118","US, NH","US, ME","US, NH-US, ME",0,2020-01-27
"119","US, NH","US, ME","US, NH-US, ME",0,2020-01-28
"120","US, NH","US, ME","US, NH-US, ME",0,2020-01-29
"121","US, NH","US, ME","US, NH-US, ME",0,2020-01-30
"122","US, NH","US, ME","US, NH-US, ME",0,2020-01-31
"123","US, NH","US, ME","US, NH-US, ME",0,2020-02-01
"124","US, NH","US, ME","US, NH-US, ME",0,2020-02-02
"125","US, NH","US, ME","US, NH-US, ME",0,2020-02-03
"126","US, NH","US, ME","US, NH-US, ME",0,2020-02-04
"127","US, NH","US, ME","US, NH-US, ME",0,2020-02-05
"128","US, NH","US, ME","US, NH-US, ME",0,2020-02-06
"129","US, NH","US, ME","US, NH-US, ME",0,2020-02-07
"130","US, NH","US, ME","US, NH-US, ME",0,2020-02-08
"131","US, NH","US, ME","US, NH-US, ME",0,2020-02-09
"132","US, NH","US, ME","US, NH-US, ME",0,2020-02-10
"133","US, NH","US, ME","US, NH-US, ME",0,2020-02-11
"134","US, NH","US, ME","US, NH-US, ME",0,2020-02-12
"135","US, NH","US, ME","US, NH-US, ME",0,2020-02-13
"136","US, NH","US, ME","US, NH-US, ME",0,2020-02-14
"137","US, NH","US, ME","US, NH-US, ME",0,2020-02-15
"138","US, NH","US, ME","US, NH-US, ME",0,2020-02-16
"139","US, NH","US, ME","US, NH-US, ME",0,2020-02-17
"140","US, NH","US, ME","US, NH-US, ME",0,2020-02-18
"141","US, NH","US, ME","US, NH-US, ME",0,2020-02-19
"142","US, NH","US, ME","US, NH-US, ME",0,2020-02-20
"143","US, NH","US, ME","US, NH-US, ME",0,2020-02-21
"144","US, NH","US, ME","US, NH-US, ME",0,2020-02-22
"145","US, NH","US, ME","US, NH-US, ME",0,2020-02-23
"146","US, NH","US, ME","US, NH-US, ME",0,2020-02-24
"147","US, NH","US, ME","US, NH-US, ME",0,2020-02-25
"148","US, NH","US, ME","US, NH-US, ME",0,2020-02-26
"149","US, NH","US, ME","US, NH-US, ME",0,2020-02-27
"150","US, NH","US, ME","US, NH-US, ME",0,2020-02-28
"151","US, NH","US, ME","US, NH-US, ME",0,2020-02-29
"152","US, NH","US, ME","US, NH-US, ME",0,2020-03-01
"153","US, NH","US, ME","US, NH-US, ME",0,2020-03-02
"154","US, NH","US, ME","US, NH-US, ME",0,2020-03-03
"155","US, NH","US, ME","US, NH-US, ME",0,2020-03-04
"156","US, NH","US, ME","US, NH-US, ME",0,2020-03-05
"157","US, NH","US, ME","US, NH-US, ME",0,2020-03-06
"158","US, NH","US, ME","US, NH-US, ME",0,2020-03-07
"159","US, NH","US, ME","US, NH-US, ME",0,2020-03-08
"160","US, NH","US, ME","US, NH-US, ME",0,2020-03-09
"161","US, NH","US, ME","US, NH-US, ME",0,2020-03-10
"162","US, NH","US, ME","US, NH-US, ME",0,2020-03-11
"163","US, NH","US, ME","US, NH-US, ME",0,2020-03-12
"164","US, NH","US, ME","US, NH-US, ME",0,2020-03-13
"165","US, NH","US, ME","US, NH-US, ME",0,2020-03-14
"166","US, NH","US, ME","US, NH-US, ME",0,2020-03-15
"167","US, NH","US, ME","US, NH-US, ME",0,2020-03-16
"168","US, NH","US, ME","US, NH-US, ME",0,2020-03-17
"169","US, NH","US, ME","US, NH-US, ME",0,2020-03-18
"170","US, NH","US, ME","US, NH-US, ME",0,2020-03-19
"171","US, NH","US, ME","US, NH-US, ME",0,2020-03-20
"172","US, NH","US, ME","US, NH-US, ME",0,2020-03-21
"173","US, NH","US, ME","US, NH-US, ME",0,2020-03-22
"174","US, NH","US, ME","US, NH-US, ME",0,2020-03-23
"175","US, NH","US, ME","US, NH-US, ME",0,2020-03-24
"176","US, NH","US, ME","US, NH-US, ME",0,2020-03-25
"177","US, NH","US, ME","US, NH-US, ME",0,2020-03-26
"178","US, NH","US, ME","US, NH-US, ME",0,2020-03-27
"179","US, NH","US, ME","US, NH-US, ME",0,2020-03-28
"180","US, NH","US, ME","US, NH-US, ME",0,2020-03-29
"181","US, NH","US, ME","US, NH-US, ME",0,2020-03-30
