"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, MO","US, IL","US, MO-US, IL",0,2020-01-01
"2","US, MO","US, IL","US, MO-US, IL",0,2020-01-02
"3","US, MO","US, IL","US, MO-US, IL",0,2020-01-03
"4","US, MO","US, IL","US, MO-US, IL",0,2020-01-04
"5","US, MO","US, IL","US, MO-US, IL",0,2020-01-05
"6","US, MO","US, IL","US, MO-US, IL",0,2020-01-06
"7","US, MO","US, IL","US, MO-US, IL",0,2020-01-07
"8","US, MO","US, IL","US, MO-US, IL",0,2020-01-08
"9","US, MO","US, IL","US, MO-US, IL",0,2020-01-09
"10","US, MO","US, IL","US, MO-US, IL",0,2020-01-10
"11","US, MO","US, IL","US, MO-US, IL",0,2020-01-11
"12","US, MO","US, IL","US, MO-US, IL",0,2020-01-12
"13","US, MO","US, IL","US, MO-US, IL",0,2020-01-13
"14","US, MO","US, IL","US, MO-US, IL",0,2020-01-14
"15","US, MO","US, IL","US, MO-US, IL",0,2020-01-15
"16","US, MO","US, IL","US, MO-US, IL",0,2020-01-16
"17","US, MO","US, IL","US, MO-US, IL",0,2020-01-17
"18","US, MO","US, IL","US, MO-US, IL",0,2020-01-18
"19","US, MO","US, IL","US, MO-US, IL",51,2020-01-19
"20","US, MO","US, IL","US, MO-US, IL",139,2020-01-20
"21","US, MO","US, IL","US, MO-US, IL",233,2020-01-21
"22","US, MO","US, IL","US, MO-US, IL",331,2020-01-22
"23","US, MO","US, IL","US, MO-US, IL",433,2020-01-23
"24","US, MO","US, IL","US, MO-US, IL",541,2020-01-24
"25","US, MO","US, IL","US, MO-US, IL",653,2020-01-25
"26","US, MO","US, IL","US, MO-US, IL",769,2020-01-26
"27","US, MO","US, IL","US, MO-US, IL",890,2020-01-27
"28","US, MO","US, IL","US, MO-US, IL",1016,2020-01-28
"29","US, MO","US, IL","US, MO-US, IL",1147,2020-01-29
"30","US, MO","US, IL","US, MO-US, IL",1282,2020-01-30
"31","US, MO","US, IL","US, MO-US, IL",1422,2020-01-31
"32","US, MO","US, IL","US, MO-US, IL",1567,2020-02-01
"33","US, MO","US, IL","US, MO-US, IL",1706,2020-02-02
"34","US, MO","US, IL","US, MO-US, IL",1841,2020-02-03
"35","US, MO","US, IL","US, MO-US, IL",1969,2020-02-04
"36","US, MO","US, IL","US, MO-US, IL",2093,2020-02-05
"37","US, MO","US, IL","US, MO-US, IL",2212,2020-02-06
"38","US, MO","US, IL","US, MO-US, IL",2325,2020-02-07
"39","US, MO","US, IL","US, MO-US, IL",2433,2020-02-08
"40","US, MO","US, IL","US, MO-US, IL",2536,2020-02-09
"41","US, MO","US, IL","US, MO-US, IL",2633,2020-02-10
"42","US, MO","US, IL","US, MO-US, IL",2726,2020-02-11
"43","US, MO","US, IL","US, MO-US, IL",2813,2020-02-12
"44","US, MO","US, IL","US, MO-US, IL",2895,2020-02-13
"45","US, MO","US, IL","US, MO-US, IL",2972,2020-02-14
"46","US, MO","US, IL","US, MO-US, IL",3043,2020-02-15
"47","US, MO","US, IL","US, MO-US, IL",3109,2020-02-16
"48","US, MO","US, IL","US, MO-US, IL",3171,2020-02-17
"49","US, MO","US, IL","US, MO-US, IL",3226,2020-02-18
"50","US, MO","US, IL","US, MO-US, IL",3277,2020-02-19
"51","US, MO","US, IL","US, MO-US, IL",3322,2020-02-20
"52","US, MO","US, IL","US, MO-US, IL",3362,2020-02-21
"53","US, MO","US, IL","US, MO-US, IL",3397,2020-02-22
"54","US, MO","US, IL","US, MO-US, IL",3427,2020-02-23
"55","US, MO","US, IL","US, MO-US, IL",3452,2020-02-24
"56","US, MO","US, IL","US, MO-US, IL",3471,2020-02-25
"57","US, MO","US, IL","US, MO-US, IL",3485,2020-02-26
"58","US, MO","US, IL","US, MO-US, IL",3494,2020-02-27
"59","US, MO","US, IL","US, MO-US, IL",3497,2020-02-28
"60","US, MO","US, IL","US, MO-US, IL",3496,2020-02-29
"61","US, MO","US, IL","US, MO-US, IL",3489,2020-03-01
"62","US, MO","US, IL","US, MO-US, IL",3482,2020-03-02
"63","US, MO","US, IL","US, MO-US, IL",3476,2020-03-03
"64","US, MO","US, IL","US, MO-US, IL",3470,2020-03-04
"65","US, MO","US, IL","US, MO-US, IL",3465,2020-03-05
"66","US, MO","US, IL","US, MO-US, IL",3460,2020-03-06
"67","US, MO","US, IL","US, MO-US, IL",3455,2020-03-07
"68","US, MO","US, IL","US, MO-US, IL",3450,2020-03-08
"69","US, MO","US, IL","US, MO-US, IL",3446,2020-03-09
"70","US, MO","US, IL","US, MO-US, IL",3442,2020-03-10
"71","US, MO","US, IL","US, MO-US, IL",3439,2020-03-11
"72","US, MO","US, IL","US, MO-US, IL",3436,2020-03-12
"73","US, MO","US, IL","US, MO-US, IL",3433,2020-03-13
"74","US, MO","US, IL","US, MO-US, IL",3431,2020-03-14
"75","US, MO","US, IL","US, MO-US, IL",3429,2020-03-15
"76","US, MO","US, IL","US, MO-US, IL",3427,2020-03-16
"77","US, MO","US, IL","US, MO-US, IL",3426,2020-03-17
"78","US, MO","US, IL","US, MO-US, IL",3424,2020-03-18
"79","US, MO","US, IL","US, MO-US, IL",3424,2020-03-19
"80","US, MO","US, IL","US, MO-US, IL",3423,2020-03-20
"81","US, MO","US, IL","US, MO-US, IL",3423,2020-03-21
"82","US, MO","US, IL","US, MO-US, IL",3424,2020-03-22
"83","US, MO","US, IL","US, MO-US, IL",3424,2020-03-23
"84","US, MO","US, IL","US, MO-US, IL",3426,2020-03-24
"85","US, MO","US, IL","US, MO-US, IL",3427,2020-03-25
"86","US, MO","US, IL","US, MO-US, IL",3429,2020-03-26
"87","US, MO","US, IL","US, MO-US, IL",3431,2020-03-27
"88","US, MO","US, IL","US, MO-US, IL",3433,2020-03-28
"89","US, MO","US, IL","US, MO-US, IL",3436,2020-03-29
"90","US, MO","US, IL","US, MO-US, IL",3439,2020-03-30
"91","US, MO","US, IL","US, MO-US, IL",3442,2020-03-31
"92","US, MO","US, IL","US, MO-US, IL",3446,2020-04-01
"93","US, MO","US, IL","US, MO-US, IL",3451,2020-04-02
"94","US, MO","US, IL","US, MO-US, IL",3457,2020-04-03
"95","US, MO","US, IL","US, MO-US, IL",3464,2020-04-04
"96","US, MO","US, IL","US, MO-US, IL",3472,2020-04-05
"97","US, MO","US, IL","US, MO-US, IL",3481,2020-04-06
"98","US, MO","US, IL","US, MO-US, IL",3491,2020-04-07
"99","US, MO","US, IL","US, MO-US, IL",3502,2020-04-08
"100","US, MO","US, IL","US, MO-US, IL",3514,2020-04-09
"101","US, MO","US, IL","US, MO-US, IL",3527,2020-04-10
