"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-01
"2","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-02
"3","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-03
"4","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-04
"5","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-05
"6","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-06
"7","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-07
"8","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-08
"9","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-09
"10","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-10
"11","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-11
"12","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-12
"13","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-13
"14","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-14
"15","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-15
"16","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-16
"17","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-17
"18","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-18
"19","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-19
"20","US, OH","PR, NA","US, OH-PR, NA",0,2020-01-20
"21","US, OH","PR, NA","US, OH-PR, NA",1,2020-01-21
"22","US, OH","PR, NA","US, OH-PR, NA",2,2020-01-22
"23","US, OH","PR, NA","US, OH-PR, NA",3,2020-01-23
"24","US, OH","PR, NA","US, OH-PR, NA",3,2020-01-24
"25","US, OH","PR, NA","US, OH-PR, NA",4,2020-01-25
"26","US, OH","PR, NA","US, OH-PR, NA",5,2020-01-26
"27","US, OH","PR, NA","US, OH-PR, NA",6,2020-01-27
"28","US, OH","PR, NA","US, OH-PR, NA",7,2020-01-28
"29","US, OH","PR, NA","US, OH-PR, NA",7,2020-01-29
"30","US, OH","PR, NA","US, OH-PR, NA",8,2020-01-30
"31","US, OH","PR, NA","US, OH-PR, NA",9,2020-01-31
"32","US, OH","PR, NA","US, OH-PR, NA",10,2020-02-01
"33","US, OH","PR, NA","US, OH-PR, NA",11,2020-02-02
"34","US, OH","PR, NA","US, OH-PR, NA",12,2020-02-03
"35","US, OH","PR, NA","US, OH-PR, NA",13,2020-02-04
"36","US, OH","PR, NA","US, OH-PR, NA",14,2020-02-05
"37","US, OH","PR, NA","US, OH-PR, NA",15,2020-02-06
"38","US, OH","PR, NA","US, OH-PR, NA",16,2020-02-07
"39","US, OH","PR, NA","US, OH-PR, NA",17,2020-02-08
"40","US, OH","PR, NA","US, OH-PR, NA",17,2020-02-09
"41","US, OH","PR, NA","US, OH-PR, NA",18,2020-02-10
"42","US, OH","PR, NA","US, OH-PR, NA",19,2020-02-11
"43","US, OH","PR, NA","US, OH-PR, NA",20,2020-02-12
"44","US, OH","PR, NA","US, OH-PR, NA",20,2020-02-13
"45","US, OH","PR, NA","US, OH-PR, NA",21,2020-02-14
"46","US, OH","PR, NA","US, OH-PR, NA",21,2020-02-15
"47","US, OH","PR, NA","US, OH-PR, NA",22,2020-02-16
"48","US, OH","PR, NA","US, OH-PR, NA",23,2020-02-17
"49","US, OH","PR, NA","US, OH-PR, NA",23,2020-02-18
"50","US, OH","PR, NA","US, OH-PR, NA",24,2020-02-19
"51","US, OH","PR, NA","US, OH-PR, NA",24,2020-02-20
"52","US, OH","PR, NA","US, OH-PR, NA",24,2020-02-21
"53","US, OH","PR, NA","US, OH-PR, NA",25,2020-02-22
"54","US, OH","PR, NA","US, OH-PR, NA",25,2020-02-23
"55","US, OH","PR, NA","US, OH-PR, NA",26,2020-02-24
"56","US, OH","PR, NA","US, OH-PR, NA",26,2020-02-25
"57","US, OH","PR, NA","US, OH-PR, NA",26,2020-02-26
"58","US, OH","PR, NA","US, OH-PR, NA",26,2020-02-27
"59","US, OH","PR, NA","US, OH-PR, NA",27,2020-02-28
