"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, NH","US, IL","US, NH-US, IL",307,2020-01-01
"2","US, NH","US, IL","US, NH-US, IL",307,2020-01-02
"3","US, NH","US, IL","US, NH-US, IL",307,2020-01-03
"4","US, NH","US, IL","US, NH-US, IL",307,2020-01-04
"5","US, NH","US, IL","US, NH-US, IL",307,2020-01-05
"6","US, NH","US, IL","US, NH-US, IL",306,2020-01-06
"7","US, NH","US, IL","US, NH-US, IL",306,2020-01-07
"8","US, NH","US, IL","US, NH-US, IL",306,2020-01-08
"9","US, NH","US, IL","US, NH-US, IL",305,2020-01-09
"10","US, NH","US, IL","US, NH-US, IL",305,2020-01-10
"11","US, NH","US, IL","US, NH-US, IL",305,2020-01-11
"12","US, NH","US, IL","US, NH-US, IL",304,2020-01-12
"13","US, NH","US, IL","US, NH-US, IL",303,2020-01-13
"14","US, NH","US, IL","US, NH-US, IL",303,2020-01-14
"15","US, NH","US, IL","US, NH-US, IL",302,2020-01-15
"16","US, NH","US, IL","US, NH-US, IL",301,2020-01-16
"17","US, NH","US, IL","US, NH-US, IL",301,2020-01-17
"18","US, NH","US, IL","US, NH-US, IL",300,2020-01-18
"19","US, NH","US, IL","US, NH-US, IL",299,2020-01-19
"20","US, NH","US, IL","US, NH-US, IL",298,2020-01-20
"21","US, NH","US, IL","US, NH-US, IL",297,2020-01-21
"22","US, NH","US, IL","US, NH-US, IL",296,2020-01-22
"23","US, NH","US, IL","US, NH-US, IL",295,2020-01-23
"24","US, NH","US, IL","US, NH-US, IL",294,2020-01-24
"25","US, NH","US, IL","US, NH-US, IL",293,2020-01-25
"26","US, NH","US, IL","US, NH-US, IL",292,2020-01-26
"27","US, NH","US, IL","US, NH-US, IL",290,2020-01-27
"28","US, NH","US, IL","US, NH-US, IL",289,2020-01-28
"29","US, NH","US, IL","US, NH-US, IL",288,2020-01-29
"30","US, NH","US, IL","US, NH-US, IL",286,2020-01-30
"31","US, NH","US, IL","US, NH-US, IL",285,2020-01-31
"32","US, NH","US, IL","US, NH-US, IL",283,2020-02-01
"33","US, NH","US, IL","US, NH-US, IL",282,2020-02-02
"34","US, NH","US, IL","US, NH-US, IL",281,2020-02-03
"35","US, NH","US, IL","US, NH-US, IL",280,2020-02-04
"36","US, NH","US, IL","US, NH-US, IL",279,2020-02-05
"37","US, NH","US, IL","US, NH-US, IL",279,2020-02-06
"38","US, NH","US, IL","US, NH-US, IL",278,2020-02-07
"39","US, NH","US, IL","US, NH-US, IL",278,2020-02-08
"40","US, NH","US, IL","US, NH-US, IL",278,2020-02-09
"41","US, NH","US, IL","US, NH-US, IL",278,2020-02-10
"42","US, NH","US, IL","US, NH-US, IL",278,2020-02-11
"43","US, NH","US, IL","US, NH-US, IL",278,2020-02-12
"44","US, NH","US, IL","US, NH-US, IL",279,2020-02-13
"45","US, NH","US, IL","US, NH-US, IL",280,2020-02-14
"46","US, NH","US, IL","US, NH-US, IL",281,2020-02-15
"47","US, NH","US, IL","US, NH-US, IL",282,2020-02-16
"48","US, NH","US, IL","US, NH-US, IL",283,2020-02-17
"49","US, NH","US, IL","US, NH-US, IL",284,2020-02-18
"50","US, NH","US, IL","US, NH-US, IL",286,2020-02-19
"51","US, NH","US, IL","US, NH-US, IL",288,2020-02-20
"52","US, NH","US, IL","US, NH-US, IL",290,2020-02-21
"53","US, NH","US, IL","US, NH-US, IL",292,2020-02-22
"54","US, NH","US, IL","US, NH-US, IL",294,2020-02-23
"55","US, NH","US, IL","US, NH-US, IL",297,2020-02-24
"56","US, NH","US, IL","US, NH-US, IL",299,2020-02-25
"57","US, NH","US, IL","US, NH-US, IL",302,2020-02-26
"58","US, NH","US, IL","US, NH-US, IL",305,2020-02-27
"59","US, NH","US, IL","US, NH-US, IL",308,2020-02-28
"60","US, NH","US, IL","US, NH-US, IL",311,2020-02-29
"61","US, NH","US, IL","US, NH-US, IL",315,2020-03-01
"62","US, NH","US, IL","US, NH-US, IL",318,2020-03-02
"63","US, NH","US, IL","US, NH-US, IL",322,2020-03-03
"64","US, NH","US, IL","US, NH-US, IL",325,2020-03-04
"65","US, NH","US, IL","US, NH-US, IL",328,2020-03-05
"66","US, NH","US, IL","US, NH-US, IL",331,2020-03-06
"67","US, NH","US, IL","US, NH-US, IL",334,2020-03-07
"68","US, NH","US, IL","US, NH-US, IL",337,2020-03-08
"69","US, NH","US, IL","US, NH-US, IL",340,2020-03-09
"70","US, NH","US, IL","US, NH-US, IL",343,2020-03-10
"71","US, NH","US, IL","US, NH-US, IL",345,2020-03-11
"72","US, NH","US, IL","US, NH-US, IL",348,2020-03-12
"73","US, NH","US, IL","US, NH-US, IL",350,2020-03-13
