"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, FL","US, TN","US, FL-US, TN",3370,2020-01-01
"2","US, FL","US, TN","US, FL-US, TN",3369,2020-01-02
"3","US, FL","US, TN","US, FL-US, TN",3369,2020-01-03
"4","US, FL","US, TN","US, FL-US, TN",3368,2020-01-04
"5","US, FL","US, TN","US, FL-US, TN",3366,2020-01-05
"6","US, FL","US, TN","US, FL-US, TN",3365,2020-01-06
"7","US, FL","US, TN","US, FL-US, TN",3363,2020-01-07
"8","US, FL","US, TN","US, FL-US, TN",3361,2020-01-08
"9","US, FL","US, TN","US, FL-US, TN",3358,2020-01-09
"10","US, FL","US, TN","US, FL-US, TN",3356,2020-01-10
"11","US, FL","US, TN","US, FL-US, TN",3352,2020-01-11
"12","US, FL","US, TN","US, FL-US, TN",3349,2020-01-12
"13","US, FL","US, TN","US, FL-US, TN",3345,2020-01-13
"14","US, FL","US, TN","US, FL-US, TN",3341,2020-01-14
"15","US, FL","US, TN","US, FL-US, TN",3337,2020-01-15
"16","US, FL","US, TN","US, FL-US, TN",3332,2020-01-16
"17","US, FL","US, TN","US, FL-US, TN",3327,2020-01-17
"18","US, FL","US, TN","US, FL-US, TN",3322,2020-01-18
"19","US, FL","US, TN","US, FL-US, TN",3316,2020-01-19
"20","US, FL","US, TN","US, FL-US, TN",3310,2020-01-20
"21","US, FL","US, TN","US, FL-US, TN",3304,2020-01-21
"22","US, FL","US, TN","US, FL-US, TN",3298,2020-01-22
"23","US, FL","US, TN","US, FL-US, TN",3291,2020-01-23
"24","US, FL","US, TN","US, FL-US, TN",3284,2020-01-24
"25","US, FL","US, TN","US, FL-US, TN",3276,2020-01-25
"26","US, FL","US, TN","US, FL-US, TN",3269,2020-01-26
"27","US, FL","US, TN","US, FL-US, TN",3260,2020-01-27
"28","US, FL","US, TN","US, FL-US, TN",3252,2020-01-28
"29","US, FL","US, TN","US, FL-US, TN",3243,2020-01-29
"30","US, FL","US, TN","US, FL-US, TN",3234,2020-01-30
"31","US, FL","US, TN","US, FL-US, TN",3225,2020-01-31
"32","US, FL","US, TN","US, FL-US, TN",3215,2020-02-01
"33","US, FL","US, TN","US, FL-US, TN",3208,2020-02-02
"34","US, FL","US, TN","US, FL-US, TN",3202,2020-02-03
"35","US, FL","US, TN","US, FL-US, TN",3198,2020-02-04
"36","US, FL","US, TN","US, FL-US, TN",3195,2020-02-05
"37","US, FL","US, TN","US, FL-US, TN",3195,2020-02-06
"38","US, FL","US, TN","US, FL-US, TN",3196,2020-02-07
"39","US, FL","US, TN","US, FL-US, TN",3199,2020-02-08
"40","US, FL","US, TN","US, FL-US, TN",3204,2020-02-09
"41","US, FL","US, TN","US, FL-US, TN",3211,2020-02-10
"42","US, FL","US, TN","US, FL-US, TN",3220,2020-02-11
"43","US, FL","US, TN","US, FL-US, TN",3230,2020-02-12
"44","US, FL","US, TN","US, FL-US, TN",3243,2020-02-13
"45","US, FL","US, TN","US, FL-US, TN",3257,2020-02-14
"46","US, FL","US, TN","US, FL-US, TN",3273,2020-02-15
"47","US, FL","US, TN","US, FL-US, TN",3291,2020-02-16
"48","US, FL","US, TN","US, FL-US, TN",3311,2020-02-17
"49","US, FL","US, TN","US, FL-US, TN",3332,2020-02-18
"50","US, FL","US, TN","US, FL-US, TN",3355,2020-02-19
"51","US, FL","US, TN","US, FL-US, TN",3381,2020-02-20
"52","US, FL","US, TN","US, FL-US, TN",3408,2020-02-21
"53","US, FL","US, TN","US, FL-US, TN",3437,2020-02-22
"54","US, FL","US, TN","US, FL-US, TN",3467,2020-02-23
"55","US, FL","US, TN","US, FL-US, TN",3500,2020-02-24
"56","US, FL","US, TN","US, FL-US, TN",3534,2020-02-25
"57","US, FL","US, TN","US, FL-US, TN",3570,2020-02-26
"58","US, FL","US, TN","US, FL-US, TN",3608,2020-02-27
"59","US, FL","US, TN","US, FL-US, TN",3648,2020-02-28
"60","US, FL","US, TN","US, FL-US, TN",3690,2020-02-29
"61","US, FL","US, TN","US, FL-US, TN",3733,2020-03-01
"62","US, FL","US, TN","US, FL-US, TN",3775,2020-03-02
"63","US, FL","US, TN","US, FL-US, TN",3815,2020-03-03
"64","US, FL","US, TN","US, FL-US, TN",3854,2020-03-04
"65","US, FL","US, TN","US, FL-US, TN",3891,2020-03-05
"66","US, FL","US, TN","US, FL-US, TN",3926,2020-03-06
"67","US, FL","US, TN","US, FL-US, TN",3959,2020-03-07
"68","US, FL","US, TN","US, FL-US, TN",3991,2020-03-08
"69","US, FL","US, TN","US, FL-US, TN",4021,2020-03-09
"70","US, FL","US, TN","US, FL-US, TN",4049,2020-03-10
"71","US, FL","US, TN","US, FL-US, TN",4076,2020-03-11
"72","US, FL","US, TN","US, FL-US, TN",4101,2020-03-12
"73","US, FL","US, TN","US, FL-US, TN",4124,2020-03-13
"74","US, FL","US, TN","US, FL-US, TN",4145,2020-03-14
"75","US, FL","US, TN","US, FL-US, TN",4165,2020-03-15
"76","US, FL","US, TN","US, FL-US, TN",4183,2020-03-16
